Tensei shitara Slime Datta Ken 2nd Season,169,8.40
Tian Guan Ci Fu,170,8.39
3-gatsu no Lion,171,8.39
Barakamon,172,8.39
Fumetsu no Anata e,173,8.39
Kimetsu no Yaiba: Mugen Ressha-hen,174,8.39
Baccano!,175,8.38
Cowboy Bebop: Tengoku no Tobira,176,8.38
Kamisama Hajimemashita: Kako-hen,177,8.38
Kizumonogatari I: Tekketsu-hen,178,8.38
Kobayashi-san Chi no Maid Dragon S,179,8.38
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,180,8.38
Sono Bisque Doll wa Koi wo Suru,181,8.38
Usagi Drop,182,8.38
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,183,8.38
Mushoku Tensei: Isekai Ittara Honki Dasu,184,8.37
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,185,8.37
Holo no Graffiti,186,8.37
Kaze no Tani no Nausicaä,187,8.37
Bakuman. 2nd Season,188,8.36
Haikyuu!! To the Top,189,8.36
Hellsing Ultimate,190,8.36
Kingdom 2nd Season,191,8.36
Kotarou wa Hitorigurashi,192,8.36
Mahou Shoujo Madoka★Magica,193,8.36
Gintama: Shiroyasha Koutan,194,8.35
Given,195,8.35
Kiseijuu: Sei no Kakuritsu,196,8.35
Made in Abyss Movie 2: Hourou Suru Tasogare,197,8.35
Psycho-Pass,198,8.35
Major S6,199,8.34
Mobile Suit Gundam: The Origin,200,8.34
Natsume Yuujinchou: Itsuka Yuki no Hi ni,201,8.34
Neon Genesis Evangelion,202,8.34
One Outs,203,8.34
Romeo no Aoi Sora,204,8.34
Summertime Render,205,8.34
Uchuu Senkan Yamato 2199,206,8.34
Bakemonogatari,207,8.34
Gotcha!,208,8.34
K-On! Movie,209,8.34
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,210,8.33
Katanagatari,211,8.33
Kemono no Souja Erin,212,8.33
Ookami to Koushinryou II,213,8.33
Versailles no Bara,214,8.33
Natsume Yuujinchou,215,8.32
Natsume Yuujinchou Go Specials,216,8.32
NHK ni Youkoso!,217,8.32
Sakamichi no Apollon,218,8.32
Tenki no Ko,219,8.32
Tensei shitara Slime Datta Ken 2nd Season Part 2,220,8.32
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",221,8.32
Boku dake ga Inai Machi,222,8.32
Doupo Cangqiong: San Nian Zhi Yue,223,8.32
Evangelion: 2.0 You Can (Not) Advance,224,8.32
Fate/stay night: Unlimited Blade Works 2nd Season,225,8.32
Kawaki wo Ameku,226,8.32
Doukyuusei (Movie),227,8.31
Hotarubi no Mori e,228,8.31
Hunter x Hunter: Original Video Animation,229,8.31
Initial D First Stage,230,8.31
Kuroko no Basket 3rd Season,231,8.31
Major: World Series,232,8.31
Shelter (Music),233,8.31
Shinsekai yori,234,8.31
World Trigger 3rd Season,235,8.31
Rurouni Kenshin: Meiji Kenkaku Romantan,236,8.30
Shirobako,237,8.30
Steins;Gate: Oukoubakko no Poriomania,238,8.30
Beck,239,8.30
Detective Conan Movie 06: The Phantom of Baker Street,240,8.30
Diamond no Ace: Second Season,241,8.30
Dr. Stone,242,8.30
Hibike! Euphonium 2,243,8.30
Kino no Tabi: The Beautiful World,244,8.30
Ashita no Joe,245,8.29
Fate/Zero,246,8.29
Gintama: Shinyaku Benizakura-hen,247,8.29
Tsubasa: Tokyo Revelations,248,8.29
Nodame Cantabile,249,8.28
Redline,250,8.28
